"senderDFSP","senderName","senderUserNumber","senderAccountId","senderRoleType","receiverDFSP","receiverName","receiverUserNumber","receiverAccountId","receiverRoleType"
"dfsp2","cust170519-8-152","PT170519-8-152","99755759","customer","dfsp1","cust170519-8-151","PT170519-8-151","99197455","customer"
"dfsp1","cust170519-8-161","PT170519-8-161","49413475","customer","dfsp2","cust170519-8-162","PT170519-8-162","47743498","customer"
"dfsp2","cust170519-8-162","PT170519-8-162","47743498","customer","dfsp1","cust170519-8-161","PT170519-8-161","49413475","customer"
"dfsp1","cust170519-8-171","PT170519-8-171","25482616","customer","dfsp2","cust170519-8-172","PT170519-8-172","19017914","customer"
"dfsp2","cust170519-8-172","PT170519-8-172","19017914","customer","dfsp1","cust170519-8-171","PT170519-8-171","25482616","customer"
"dfsp1","cust170519-8-181","PT170519-8-181","12378123","customer","dfsp2","cust170519-8-182","PT170519-8-182","07560515","customer"
"dfsp2","cust170519-8-182","PT170519-8-182","07560515","customer","dfsp1","cust170519-8-181","PT170519-8-181","12378123","customer"
"dfsp1","cust170519-8-191","PT170519-8-191","46718168","customer","dfsp2","cust170519-8-192","PT170519-8-192","14755897","customer"
"dfsp2","cust170519-8-192","PT170519-8-192","14755897","customer","dfsp1","cust170519-8-191","PT170519-8-191","46718168","customer"
"dfsp1","cust170519-8-201","PT170519-8-201","86789627","customer","dfsp2","cust170519-8-202","PT170519-8-202","16222010","customer"
"dfsp2","cust170519-8-202","PT170519-8-202","16222010","customer","dfsp1","cust170519-8-201","PT170519-8-201","86789627","customer"
"dfsp1","cust170519-8-211","PT170519-8-211","05400661","customer","dfsp2","cust170519-8-212","PT170519-8-212","79126696","customer"
"dfsp2","cust170519-8-212","PT170519-8-212","79126696","customer","dfsp1","cust170519-8-211","PT170519-8-211","05400661","customer"
"dfsp1","cust170519-8-221","PT170519-8-221","67853737","customer","dfsp2","cust170519-8-222","PT170519-8-222","41491087","customer"
"dfsp2","cust170519-8-222","PT170519-8-222","41491087","customer","dfsp1","cust170519-8-221","PT170519-8-221","67853737","customer"
"dfsp1","cust170519-8-231","PT170519-8-231","18213170","customer","dfsp2","cust170519-8-232","PT170519-8-232","03064073","customer"
"dfsp2","cust170519-8-232","PT170519-8-232","03064073","customer","dfsp1","cust170519-8-231","PT170519-8-231","18213170","customer"
"dfsp1","cust170519-8-241","PT170519-8-241","13581969","customer","dfsp2","cust170519-8-242","PT170519-8-242","00745680","customer"
"dfsp2","cust170519-8-242","PT170519-8-242","00745680","customer","dfsp1","cust170519-8-241","PT170519-8-241","13581969","customer"
"dfsp1","cust170519-8-251","PT170519-8-251","81311188","customer","dfsp2","cust170519-8-252","PT170519-8-252","19202938","customer"
"dfsp2","cust170519-8-252","PT170519-8-252","19202938","customer","dfsp1","cust170519-8-251","PT170519-8-251","81311188","customer"
"dfsp1","cust170519-8-261","PT170519-8-261","78197631","customer","dfsp2","cust170519-8-262","PT170519-8-262","94095700","customer"
"dfsp2","cust170519-8-262","PT170519-8-262","94095700","customer","dfsp1","cust170519-8-261","PT170519-8-261","78197631","customer"
"dfsp1","cust170519-8-271","PT170519-8-271","90010989","customer","dfsp2","cust170519-8-272","PT170519-8-272","64067208","customer"
"dfsp2","cust170519-8-272","PT170519-8-272","64067208","customer","dfsp1","cust170519-8-271","PT170519-8-271","90010989","customer"
"dfsp1","cust170519-8-281","PT170519-8-281","73286932","customer","dfsp2","cust170519-8-282","PT170519-8-282","73363778","customer"
"dfsp2","cust170519-8-282","PT170519-8-282","73363778","customer","dfsp1","cust170519-8-281","PT170519-8-281","73286932","customer"
"dfsp1","cust170519-8-291","PT170519-8-291","85812876","customer","dfsp2","cust170519-8-292","PT170519-8-292","24880439","customer"
"dfsp2","cust170519-8-292","PT170519-8-292","24880439","customer","dfsp1","cust170519-8-291","PT170519-8-291","85812876","customer"
"dfsp1","cust170519-8-301","PT170519-8-301","66515693","customer","dfsp2","cust170519-8-302","PT170519-8-302","51127632","customer"
"dfsp2","cust170519-8-302","PT170519-8-302","51127632","customer","dfsp1","cust170519-8-301","PT170519-8-301","66515693","customer"
"dfsp1","cust170519-8-311","PT170519-8-311","06671309","customer","dfsp2","cust170519-8-312","PT170519-8-312","22196099","customer"
"dfsp2","cust170519-8-312","PT170519-8-312","22196099","customer","dfsp1","cust170519-8-311","PT170519-8-311","06671309","customer"
"dfsp1","cust170519-8-321","PT170519-8-321","31787403","customer","dfsp2","cust170519-8-322","PT170519-8-322","50832716","customer"
"dfsp2","cust170519-8-322","PT170519-8-322","50832716","customer","dfsp1","cust170519-8-321","PT170519-8-321","31787403","customer"
"dfsp1","cust170519-8-331","PT170519-8-331","69572755","customer","dfsp2","cust170519-8-332","PT170519-8-332","79818261","customer"
"dfsp2","cust170519-8-332","PT170519-8-332","79818261","customer","dfsp1","cust170519-8-331","PT170519-8-331","69572755","customer"
"dfsp1","cust170519-8-341","PT170519-8-341","22942389","customer","dfsp2","cust170519-8-342","PT170519-8-342","36031595","customer"
"dfsp2","cust170519-8-342","PT170519-8-342","36031595","customer","dfsp1","cust170519-8-341","PT170519-8-341","22942389","customer"
"dfsp1","cust170519-8-351","PT170519-8-351","40573504","customer","dfsp2","cust170519-8-352","PT170519-8-352","48298219","customer"
"dfsp2","cust170519-8-352","PT170519-8-352","48298219","customer","dfsp1","cust170519-8-351","PT170519-8-351","40573504","customer"
"dfsp1","cust170519-8-361","PT170519-8-361","76878577","customer","dfsp2","cust170519-8-362","PT170519-8-362","76820000","customer"
"dfsp2","cust170519-8-362","PT170519-8-362","76820000","customer","dfsp1","cust170519-8-361","PT170519-8-361","76878577","customer"
"dfsp1","cust170519-8-371","PT170519-8-371","34591277","customer","dfsp2","cust170519-8-372","PT170519-8-372","61709460","customer"
"dfsp2","cust170519-8-372","PT170519-8-372","61709460","customer","dfsp1","cust170519-8-371","PT170519-8-371","34591277","customer"
"dfsp1","cust170519-8-381","PT170519-8-381","02306670","customer","dfsp2","cust170519-8-382","PT170519-8-382","83166040","customer"
"dfsp2","cust170519-8-382","PT170519-8-382","83166040","customer","dfsp1","cust170519-8-381","PT170519-8-381","02306670","customer"
"dfsp1","cust170519-8-391","PT170519-8-391","54804785","customer","dfsp2","cust170519-8-392","PT170519-8-392","21466007","customer"
"dfsp2","cust170519-8-392","PT170519-8-392","21466007","customer","dfsp1","cust170519-8-391","PT170519-8-391","54804785","customer"
"dfsp1","cust170519-8-401","PT170519-8-401","32232978","customer","dfsp2","cust170519-8-402","PT170519-8-402","86923300","customer"
"dfsp2","cust170519-8-402","PT170519-8-402","86923300","customer","dfsp1","cust170519-8-401","PT170519-8-401","32232978","customer"
"dfsp1","cust170519-8-411","PT170519-8-411","63289688","customer","dfsp2","cust170519-8-412","PT170519-8-412","07852605","customer"
"dfsp2","cust170519-8-412","PT170519-8-412","07852605","customer","dfsp1","cust170519-8-411","PT170519-8-411","63289688","customer"
"dfsp1","cust170519-8-421","PT170519-8-421","72651290","customer","dfsp2","cust170519-8-422","PT170519-8-422","48315804","customer"
"dfsp2","cust170519-8-422","PT170519-8-422","48315804","customer","dfsp1","cust170519-8-421","PT170519-8-421","72651290","customer"
"dfsp1","cust170519-8-431","PT170519-8-431","72076140","customer","dfsp2","cust170519-8-432","PT170519-8-432","34698440","customer"
"dfsp2","cust170519-8-432","PT170519-8-432","34698440","customer","dfsp1","cust170519-8-431","PT170519-8-431","72076140","customer"
"dfsp1","cust170519-8-441","PT170519-8-441","59773203","customer","dfsp2","cust170519-8-442","PT170519-8-442","67927800","customer"
"dfsp2","cust170519-8-442","PT170519-8-442","67927800","customer","dfsp1","cust170519-8-441","PT170519-8-441","59773203","customer"
"dfsp1","cust170519-8-451","PT170519-8-451","83156918","customer","dfsp2","cust170519-8-452","PT170519-8-452","23101487","customer"
"dfsp2","cust170519-8-452","PT170519-8-452","23101487","customer","dfsp1","cust170519-8-451","PT170519-8-451","83156918","customer"
"dfsp1","cust170519-8-461","PT170519-8-461","15440039","customer","dfsp2","cust170519-8-462","PT170519-8-462","77429623","customer"
"dfsp2","cust170519-8-462","PT170519-8-462","77429623","customer","dfsp1","cust170519-8-461","PT170519-8-461","15440039","customer"
"dfsp1","cust170519-8-471","PT170519-8-471","20737010","customer","dfsp2","cust170519-8-472","PT170519-8-472","07281039","customer"
"dfsp2","cust170519-8-472","PT170519-8-472","07281039","customer","dfsp1","cust170519-8-471","PT170519-8-471","20737010","customer"
"dfsp1","cust170519-8-481","PT170519-8-481","52634158","customer","dfsp2","cust170519-8-482","PT170519-8-482","83986009","customer"
"dfsp2","cust170519-8-482","PT170519-8-482","83986009","customer","dfsp1","cust170519-8-481","PT170519-8-481","52634158","customer"
"dfsp1","cust170519-8-491","PT170519-8-491","34233072","customer","dfsp2","cust170519-8-492","PT170519-8-492","74550794","customer"
"dfsp2","cust170519-8-492","PT170519-8-492","74550794","customer","dfsp1","cust170519-8-491","PT170519-8-491","34233072","customer"
